predicted_cost,predicted_cost_with_savings,date,year,month,borough,Total_reduction
4578926.378894203,1831570.551557681,2023-06-01,2023,6,Bronx,2747355.8273365223
8886028.89233383,3554411.5569335315,2023-07-01,2023,7,Bronx,5331617.335400298
9222622.703583525,3689049.08143341,2023-08-01,2023,8,Bronx,5533573.622150116
9230844.169857277,3692337.6679429095,2023-09-01,2023,9,Bronx,5538506.501914367
11216298.64887934,4486519.459551736,2023-10-01,2023,10,Bronx,6729779.189327604
8560555.811962603,3424222.3247850407,2023-11-01,2023,11,Bronx,5136333.487177562
12445950.870445266,4978380.348178106,2023-12-01,2023,12,Bronx,7467570.52226716
11853795.904695,4741518.361878,2024-01-01,2024,1,Bronx,7112277.542817
8278282.001290799,3311312.8005163185,2024-02-01,2024,2,Bronx,4966969.200774481
8089306.802207625,3235722.720883049,2024-03-01,2024,3,Bronx,4853584.0813245755
8407911.797958985,3363164.719183594,2024-04-01,2024,4,Bronx,5044747.078775391
9843970.313333798,3937588.1253335187,2024-05-01,2024,5,Bronx,5906382.1880002795
12810092.906747466,5124037.162698985,2023-06-01,2023,6,Brooklyn,7686055.744048481
11855124.46350056,4742049.785400223,2023-07-01,2023,7,Brooklyn,7113074.678100336
8500433.523625568,3400173.4094502265,2023-08-01,2023,8,Brooklyn,5100260.114175341
8319844.920615055,3327937.9682460213,2023-09-01,2023,9,Brooklyn,4991906.952369033
4306739.593636106,1722695.837454442,2023-10-01,2023,10,Brooklyn,2584043.756181664
4004123.1758447713,1601649.2703379085,2023-11-01,2023,11,Brooklyn,2402473.905506863
16847714.761945367,6739085.904778145,2023-12-01,2023,12,Brooklyn,10108628.857167222
6141128.217731886,2456451.287092754,2024-01-01,2024,1,Brooklyn,3684676.9306391315
2682509.060945904,1073003.6243783615,2024-02-01,2024,2,Brooklyn,1609505.4365675424
4791796.372835247,1916718.5491340985,2024-03-01,2024,3,Brooklyn,2875077.8237011484
1656684.1848352486,662673.6739340994,2024-04-01,2024,4,Brooklyn,994010.5109011492
4136255.523245398,1654502.209298159,2024-05-01,2024,5,Brooklyn,2481753.313947239
400.9390226249411,160.37560904997645,2023-06-01,2023,6,EWR,240.56341357496467
608.8630439405325,243.54521757621296,2023-07-01,2023,7,EWR,365.31782636431956
947.22690605422,378.8907624216879,2023-08-01,2023,8,EWR,568.3361436325321
743.358657126473,297.3434628505891,2023-09-01,2023,9,EWR,446.01519427588386
805.3475745931017,322.1390298372406,2023-10-01,2023,10,EWR,483.2085447558611
678.3144773021047,271.3257909208419,2023-11-01,2023,11,EWR,406.9886863812628
1141.6485082756374,456.6594033102549,2023-12-01,2023,12,EWR,684.9891049653825
918.6492883353461,367.4597153341383,2024-01-01,2024,1,EWR,551.1895730012078
1706.7564423340336,682.7025769336133,2024-02-01,2024,2,EWR,1024.0538654004204
887.4679432553859,354.98717730215435,2024-03-01,2024,3,EWR,532.4807659532315
774.8872965700546,309.95491862802174,2024-04-01,2024,4,EWR,464.9323779420328
1416.5998639301417,566.6399455720566,2024-05-01,2024,5,EWR,849.9599183580851
7157767.602475114,2863107.0409900453,2023-06-01,2023,6,Manhattan,4294660.561485069
11732720.78328237,4693088.313312948,2023-07-01,2023,7,Manhattan,7039632.469969422
6259258.48271353,2503703.3930854113,2023-08-01,2023,8,Manhattan,3755555.0896281186
10722795.542108044,4289118.216843218,2023-09-01,2023,9,Manhattan,6433677.325264826
10976154.08786945,4390461.63514778,2023-10-01,2023,10,Manhattan,6585692.45272167
22909740.07298211,9163896.029192843,2023-11-01,2023,11,Manhattan,13745844.043789268
16691011.443764016,6676404.577505605,2023-12-01,2023,12,Manhattan,10014606.86625841
11123498.820259972,4449399.528103989,2024-01-01,2024,1,Manhattan,6674099.292155983
7682907.628230639,3073163.0512922555,2024-02-01,2024,2,Manhattan,4609744.576938383
11538001.03253214,4615200.413012856,2024-03-01,2024,3,Manhattan,6922800.619519285
12531681.731033884,5012672.692413554,2024-04-01,2024,4,Manhattan,7519009.03862033
10224964.005448777,4089985.6021795105,2024-05-01,2024,5,Manhattan,6134978.403269267
4707602.130815301,1883040.8523261202,2023-06-01,2023,6,Queens,2824561.278489181
19136924.388186682,7654769.755274672,2023-07-01,2023,7,Queens,11482154.63291201
9019371.829698084,3607748.7318792325,2023-08-01,2023,8,Queens,5411623.0978188515
10580548.766480105,4232219.506592042,2023-09-01,2023,9,Queens,6348329.259888063
8978249.242575735,3591299.697030293,2023-10-01,2023,10,Queens,5386949.545545442
10102046.627886217,4040818.6511544865,2023-11-01,2023,11,Queens,6061227.976731731
6929929.869031705,2771971.9476126814,2023-12-01,2023,12,Queens,4157957.9214190235
5815360.657002014,2326144.2628008053,2024-01-01,2024,1,Queens,3489216.394201209
1995584.5666283465,798233.8266513385,2024-02-01,2024,2,Queens,1197350.739977008
2547462.6729689967,1018985.0691875985,2024-03-01,2024,3,Queens,1528477.6037813982
3264158.237751316,1305663.2951005262,2024-04-01,2024,4,Queens,1958494.9426507896
3736439.2283543353,1494575.6913417336,2024-05-01,2024,5,Queens,2241863.5370126017
3262.839980267928,1305.135992107171,2023-06-01,2023,6,Staten Island,1957.7039881607568
10087.63549923526,4035.0541996941038,2023-07-01,2023,7,Staten Island,6052.581299541157
7634.357858182862,3053.7431432731446,2023-08-01,2023,8,Staten Island,4580.614714909718
687009.9512480573,274803.9804992229,2023-09-01,2023,9,Staten Island,412205.9707488344
12708.664288200089,5083.4657152800355,2023-10-01,2023,10,Staten Island,7625.198572920053
294698.5917808794,117879.43671235174,2023-11-01,2023,11,Staten Island,176819.15506852767
15402.800560778123,6161.120224311249,2023-12-01,2023,12,Staten Island,9241.680336466874
29127.859941355426,11651.143976542167,2024-01-01,2024,1,Staten Island,17476.71596481326
-7599.033548085521,-12158.453676936835,2024-02-01,2024,2,Staten Island,4559.420128851314
-8756.013063711309,-14009.620901938095,2024-03-01,2024,3,Staten Island,5253.607838226786
-4026.439890470854,-6442.303824753367,2024-04-01,2024,4,Staten Island,2415.8639342825127
-7529.399591320513,-12047.03934611282,2024-05-01,2024,5,Staten Island,4517.639754792308
49705.148260848844,19882.059304339535,2023-06-01,2023,6,Unknown,29823.08895650931
50435.72537549875,20174.290150199497,2023-07-01,2023,7,Unknown,30261.43522529925
49404.71398124763,19761.88559249905,2023-08-01,2023,8,Unknown,29642.82838874858
182021.08392276542,72808.43356910616,2023-09-01,2023,9,Unknown,109212.65035365926
105168.1184372483,42067.247374899314,2023-10-01,2023,10,Unknown,63100.87106234898
43796.879954226344,17518.751981690537,2023-11-01,2023,11,Unknown,26278.127972535807
128907.76830246343,51563.107320985364,2023-12-01,2023,12,Unknown,77344.66098147807
157189.43113182765,62875.77245273105,2024-01-01,2024,1,Unknown,94313.6586790966
139296.28495176637,55718.51398070654,2024-02-01,2024,2,Unknown,83577.77097105983
52576.714698646014,21030.6858794584,2024-03-01,2024,3,Unknown,31546.028819187613
59064.83499193781,23625.933996775115,2024-04-01,2024,4,Unknown,35438.900995162694
58863.5457072893,23545.418282915714,2024-05-01,2024,5,Unknown,35318.12742437358
